compound,compound_class,mechanism_of_action,concentration_band,n_condition_dirs,n_active_condition_dirs,condition_dirs
Picrotoxin,Analeptics,GABAAR antagonism,mid,4,4,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin 9 may 2017/30 microM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin 9 may 2017/30microM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin 9 may 2017/30microM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin 9 may 2017/30microM F6 bright at end but ok
Picrotoxin,Analeptics,GABAAR antagonism,unknown,2,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin 9 may 2017/DONT USE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Picrotoxin run 2 19 May 2017/DONT USE
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),control,10,10,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD/Control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD/Control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/Water F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/Water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/Water F2.5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/Water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/Water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/Water f2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/water F5
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),high,10,10,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD/10mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD/5mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/5mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/5mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/5mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/5mM f2.5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/5mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/5mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/5mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/5mM F5
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),low,10,10,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD/1.25mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD/1.25mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/1.25mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/1.25mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/1.25mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/1.25mM F2.5 run from zero as over at end | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/1.25mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/1.25mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/1.25mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/1.25mM f2
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),mid,11,11,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD/2.5mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_0.4OD/5mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD/2.5mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM f2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/2.5mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/2.5mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/2.5mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/2.5mM f3
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),unknown,2,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/DONT USE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/DONT USE
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/Water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/Water f1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/Water f2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/water f2.3
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",high,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/250uM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/250uM F4 fine but slightly crooked | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/250uM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/250uM F7 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/250uM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/250uM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/250uM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/250uM F2.4
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",low,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/62.5uM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/62.5uM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/62.5uM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/62.5uM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/62.5uM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/62.5uM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/62.5uM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/62.5uM F2.4
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",mid,7,7,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/125uM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/125uM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/125uM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/125uM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/125uM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/125uM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018/125uM F2.4
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",unknown,1,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018/DONT USE
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid antimalarial,control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/Water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/Water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/Water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/Water F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/Water F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/Water F2.4
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid antimalarial,high,9,9,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/1mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/1mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/1mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/1mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/1mM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/1mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/1mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/1mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/1mM F2.4
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid antimalarial,low,9,9,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.25mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.25mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.25mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.25mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.25mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.25mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.25mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.25mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.25mM F2.5
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid antimalarial,mid,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.5mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.5mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.5mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17/0.5mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.5mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.5mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.5mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17/0.5mM F2.4
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/Water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/Water F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/Water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/water F2.1
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,high,6,6,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.5mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.5mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.5mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.5mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.5mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.5mM F2.2 run from zero
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,low,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.125mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.125mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.125mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.125mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.125mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.125mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.125mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.125mM F2.4
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,mid,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.25mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.25mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.25mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018/0.25mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.25mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.25mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.25mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/0.25mM f2.5
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,unknown,1,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018/DONT USE
Rolipram,"Mixed classes, unclear link to seizures",PDE-4 inhibition,control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/Water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/Water f2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/Water f2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/Water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/Water f1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/Water f3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/water f2
Rolipram,"Mixed classes, unclear link to seizures",PDE-4 inhibition,high,9,9,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/300microM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/300microM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/300microm F2.3 overexposed | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17/300microm F2.4 overexposed | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/300micro was too high as all fish overexposed from very bright at start | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/300microM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/300microM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/300microM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17/300microM F4
